86540017,202547,INTEVA PRODUCTS LLC,PAD ASM-I/P TR,ARG937V
86540273,202547,INTEVA PRODUCTS LLC,PLATE ASM-I/P R,ARG937V
86540275,202547,INTEVA PRODUCTS LLC,PLATE ASM-I/P R,ARG937V
86540277,202547,INTEVA PRODUCTS LLC,PLATE ASM-I/P R,ARG937V
86540279,202547,INTEVA PRODUCTS LLC,PLATE ASM-I/P R,ARG937V
86572419,202547,INTEVA PRODUCTS LLC,PAD ASM-I/P TR,ARG937V
86572420,202547,INTEVA PRODUCTS LLC,PAD ASM-I/P TR,ARG937V
86576834,202547,INTEVA PRODUCTS LLC,PANEL ASM-I/P U,ARG937V
86576835,202547,INTEVA PRODUCTS LLC,PANEL ASM-I/P U,ARG937V
86576836,202547,INTEVA PRODUCTS LLC,PANEL ASM-I/P U,ARG937V
86576837,202547,INTEVA PRODUCTS LLC,PANEL ASM-I/P U,ARG937V
86576838,202547,INTEVA PRODUCTS LLC,PANEL ASM-I/P U,ARG937V
86576840,202547,INTEVA PRODUCTS LLC,PAD ASM-I/P TR,ARG937V
86576841,202547,INTEVA PRODUCTS LLC,PAD ASM-I/P TR,ARG937V
86576842,202547,INTEVA PRODUCTS LLC,PAD ASM-I/P TR,ARG937V
86576843,202547,INTEVA PRODUCTS LLC,PAD ASM-I/P TR,ARG937V
86576844,202547,INTEVA PRODUCTS LLC,PAD ASM-I/P TR,ARG937V
86576850,202547,INTEVA PRODUCTS LLC,PANEL ASM-I/P U,ARG937V
86576851,202547,INTEVA PRODUCTS LLC,PANEL ASM-I/P U,ARG937V
86576863,202547,INTEVA PRODUCTS LLC,PLATE ASM-I/P R,ARG937V
86576864,202547,INTEVA PRODUCTS LLC,PLATE ASM-I/P R,ARG937V
86576865,202547,INTEVA PRODUCTS LLC,PLATE ASM-I/P R,ARG937V
86576866,202547,INTEVA PRODUCTS LLC,PLATE ASM-I/P R,ARG937V
86576868,202547,INTEVA PRODUCTS LLC,PLATE ASM-I/P R,ARG937V
86576869,202547,INTEVA PRODUCTS LLC,PLATE ASM-I/P R,ARG937V
86576870,202547,INTEVA PRODUCTS LLC,PLATE ASM-I/P R,ARG937V
86576871,202547,INTEVA PRODUCTS LLC,PLATE ASM-I/P R,ARG937V
86576873,202547,INTEVA PRODUCTS LLC,PLATE ASM-I/P R,ARG937V
86576875,202547,INTEVA PRODUCTS LLC,PLATE ASM-I/P R,ARG937V
86805636,202547,INTEVA PRODUCTS LLC,PANEL ASM-I/P L,ARG937V
86805649,202547,INTEVA PRODUCTS LLC,PLATE ASM-I/P C,ARG937V
86805650,202547,INTEVA PRODUCTS LLC,PLATE ASM-I/P C,ARG937V
85098832,202583,SHANGHAI TIANMA MICROELECTRONICS CO,CONTROL ASM-HTR,ARIOVAA
84910103,202596,INTEVA PRODUCTS LLC,COVER ASM,ARD310D
85017692,202596,INTEVA PRODUCTS LLC,PLATE ASM-I/P R,ARD310D
85097678,202596,INTEVA PRODUCTS LLC,HOOD ASM-I/P IN,ARD310D
85097679,202596,INTEVA PRODUCTS LLC,HOOD ASM-I/P IN,ARD310D
85558530,202596,INTEVA PRODUCTS LLC,COVER ASM,ARD310D
85558531,202596,INTEVA PRODUCTS LLC,COVER ASM,ARD310D
85558532,202596,INTEVA PRODUCTS LLC,COVER ASM,ARD310D
85558534,202596,INTEVA PRODUCTS LLC,COVER ASM,ARD310D
85558535,202596,INTEVA PRODUCTS LLC,COVER ASM,ARD310D
85558536,202596,INTEVA PRODUCTS LLC,COVER ASM,ARD310D
85667540,202596,INTEVA PRODUCTS LLC,COVER ASM-I/P S,ARD310D
85667541,202596,INTEVA PRODUCTS LLC,COVER ASM-I/P S,ARD310D
85667542,202596,INTEVA PRODUCTS LLC,COVER ASM-I/P S,ARD310D
86306166,202596,INTEVA PRODUCTS LLC,PLATE ASM-I/P R,ARD310D
86312499,202596,INTEVA PRODUCTS LLC,HOOD ASM-I/P IN,ARD310D
86312500,202596,INTEVA PRODUCTS LLC,HOOD ASM-I/P IN,ARD310D
86312501,202596,INTEVA PRODUCTS LLC,HOOD ASM-I/P IN,ARD310D
86312502,202596,INTEVA PRODUCTS LLC,HOOD ASM-I/P IN,ARD310D
86805631,202596,INTEVA PRODUCTS LLC,COVER ASM-I/P O,ARD310D
86805632,202596,INTEVA PRODUCTS LLC,COVER ASM-I/P F,ARD310D
86805656,202596,INTEVA PRODUCTS LLC,COVER ASM-I/P S,ARD310D
86805659,202596,INTEVA PRODUCTS LLC,COVER ASM-I/P S,ARD310D
13571272,202652,QUANTA COMPUTER INC,MODULE ASM-ACTI,ARC210LB
13571275,202652,QUANTA COMPUTER INC,MODULE ASM-ACTI,ARC210LB
13571276,202652,QUANTA COMPUTER INC,MODULE ASM-ACTI,ARC210LB
13571277,202652,QUANTA COMPUTER INC,MODULE ASM-ACTI,ARC210LB
13573421,202652,QUANTA COMPUTER INC,MODULE ASM-ACTI,ARC210LB
